p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
8.032000064849853516e-01,-5.000000237487256527e-04,-9.999999747378751636e-05,3.000000142492353916e-04,1.300000003539025784e-03,1.099999994039535522e-03,7.997000217437744141e-01,8.016999959945678711e-01,6.000000284984707832e-04,8.999999845400452614e-04,1.999999949475750327e-04
7.239000201225280762e-01,1.599999959580600262e-03,-3.000000142492353916e-04,-1.000000047497451305e-03,1.099999994039535522e-03,2.199999988079071045e-03,8.195000290870666504e-01,7.256000041961669922e-01,7.840000092983245850e-02,7.699999958276748657e-03,9.409999847412109375e-02
6.578000187873840332e-01,1.300000003539025784e-03,-1.000000047497451305e-03,-2.700000070035457611e-03,2.499999944120645523e-03,1.099999994039535522e-03,8.357999920845031738e-01,6.624000072479248047e-01,1.105000004172325134e-01,2.390000037848949432e-02,1.497000008821487427e-01
5.971999764442443848e-01,3.800000064074993134e-03,-8.999999845400452614e-04,-6.399999838322401047e-03,6.999999750405550003e-04,-3.599999938160181046e-03,8.533999919891357422e-01,5.992000102996826172e-01,1.271000057458877563e-01,3.109999932348728180e-02,1.702000051736831665e-01
5.396000146865844727e-01,7.100000046193599701e-03,-2.899999963119626045e-03,-6.300000008195638657e-03,1.099999994039535522e-03,-7.000000216066837311e-03,8.655999898910522461e-01,5.469999909400939941e-01,1.385000050067901611e-01,3.790000081062316895e-02,1.752000004053115845e-01
4.896999895572662354e-01,1.099999994039535522e-02,-2.300000051036477089e-03,-6.099999882280826569e-03,1.300000003539025784e-03,-3.400000045076012611e-03,8.758999705314636230e-01,4.997999966144561768e-01,1.495999991893768311e-01,4.589999839663505554e-02,1.747000068426132202e-01
4.449000060558319092e-01,1.530000008642673492e-02,-2.000000094994902611e-03,-8.899999782443046570e-03,3.000000142492353916e-04,-5.700000096112489700e-03,8.853999972343444824e-01,4.515999853610992432e-01,1.569000035524368286e-01,4.890000075101852417e-02,1.727000027894973755e-01
4.077999889850616455e-01,1.310000009834766388e-02,-1.300000003539025784e-03,-1.209999993443489075e-02,-2.400000113993883133e-03,-7.600000128149986267e-03,8.985999822616577148e-01,4.095999896526336670e-01,1.666000038385391235e-01,5.559999868273735046e-02,1.660999953746795654e-01
3.718999922275543213e-01,1.559999957680702209e-02,2.099999925121665001e-03,-1.049999985843896866e-02,-6.999999750405550003e-04,-6.599999964237213135e-03,9.061999917030334473e-01,3.741999864578247070e-01,1.730999946594238281e-01,6.310000270605087280e-02,1.623000055551528931e-01
3.424000144004821777e-01,1.750000007450580597e-02,2.700000070035457611e-03,-8.299999870359897614e-03,-4.499999806284904480e-03,-1.700000022538006306e-03,9.135000109672546387e-01,3.433000147342681885e-01,1.781000047922134399e-01,6.979999691247940063e-02,1.564999967813491821e-01
3.143000006675720215e-01,1.789999939501285553e-02,-9.999999747378751636e-05,-9.999999776482582092e-03,-4.199999850243330002e-03,-3.899999894201755524e-03,9.190999865531921387e-01,3.174999952316284180e-01,1.890999972820281982e-01,7.850000262260437012e-02,1.473000049591064453e-01
2.899999916553497314e-01,2.150000073015689850e-02,-6.999999750405550003e-04,-6.899999920278787613e-03,-3.400000045076012611e-03,-1.799999969080090523e-03,9.279999732971191406e-01,2.933999896049499512e-01,1.987999975681304932e-01,8.439999818801879883e-02,1.370999962091445923e-01
