neoblast 1	grey80
neoblast 2	grey60
neoblast 3	#E6E6E6
neoblast 4	#D6D6D6
neoblast 5	#C7C7C7
neoblast 6	#B8B8B8
neoblast 7	#A8A8A8
neoblast 8	#999999
neoblast 9	#8A8A8A
neoblast 10	#7A7A7A
neoblast 11	#6B6B6B
neoblast 12	#5C5C5C
neoblast 13	#4D4D4D
epidermis DVb neoblast	lightsteelblue
pharynx cell type progenitors	slategray3
spp-11+ neurons	#CC4C02
npp-18+ neurons	#EC7014
otf+ cells 1	#993404
ChAT neurons 1	#FEC44F
neural progenitors	#FFF7BC
otf+ cells 2	#662506
cav-1+ neurons	gold2
GABA neurons	#FEE391
ChAT neurons 2	#FE9929
muscle body	firebrick
muscle pharynx	indianred 3
muscle progenitors	tomato2
secretory 1	mediumpurple3
secretory 3	purple
secretory 4	#CBC9E2
secretory 2	purple4
early epidermal progenitors	#9ECAE1
epidermal neoblasts	#C6DBEF
activated early epidermal progenitors	lightblue3
late epidermal progenitors 2	#4292C6
late epidermal progenitors 1	#6BAED6
epidermis DVb	dodgerblue
epidermis	#2171B5
pharynx cell type	royalblue
protonephridia	pink
ldlrr-1+ parenchymal cells	violetred
phagocytes	forestgreen
aqp+ parenchymal cells	plum3
pigment	palevioletred3
pgrn+ parenchymal cells	mediumorchid1
psap+ parenchymal cells	deeppink
glia	orchid3
goblet cells	yellow4
parenchymal progenitors	hotpink
psd+ cells	darkolivegreen2
gut progenitors	limegreen
